"indicator","date","rate"
"open","2022-04-29 15:24:00","2321.65"
"high","2022-04-29 15:24:00","2321.65"
"low","2022-04-29 15:24:00","2321.62"
"close","2022-04-29 15:24:00","2321.62"
"open","2022-04-29 15:23:00","2318"
"high","2022-04-29 15:23:00","2319.94"
"low","2022-04-29 15:23:00","2318"
"close","2022-04-29 15:23:00","2319.94"
"open","2022-04-29 15:22:00","2321.13"
"high","2022-04-29 15:22:00","2321.44"
"low","2022-04-29 15:22:00","2319.6"
"close","2022-04-29 15:22:00","2319.6"
"open","2022-04-29 15:21:00","2323.03"
"high","2022-04-29 15:21:00","2323.03"
"low","2022-04-29 15:21:00","2321.47"
"close","2022-04-29 15:21:00","2321.47"
"open","2022-04-29 15:20:00","2323.52"
"high","2022-04-29 15:20:00","2323.7"
"low","2022-04-29 15:20:00","2322.62"
"close","2022-04-29 15:20:00","2323.4"
"open","2022-04-29 15:19:00","2323.68"
"high","2022-04-29 15:19:00","2323.68"
"low","2022-04-29 15:19:00","2320.45"
"close","2022-04-29 15:19:00","2321.47"
"open","2022-04-29 15:18:00","2318.99"
"high","2022-04-29 15:18:00","2322.34"
"low","2022-04-29 15:18:00","2318.99"
